Index,Red,Green,Blue
0,32,73,166
1,32,73,166
2,32,73,165
3,32,73,165
4,32,73,166
5,32,72,166
6,32,72,166
7,32,72,167
8,32,72,166
9,32,72,167
10,32,72,166
11,32,72,166
12,32,73,166
13,32,72,165
14,32,73,166
15,32,73,166
16,33,73,165
17,33,73,165
18,33,73,165
19,33,73,164
20,33,73,165
21,33,73,165
22,33,73,165
23,33,73,164
24,33,73,164
25,33,73,165
26,33,73,164
27,33,73,164
28,33,73,164
29,33,74,164
30,33,73,164
31,33,73,165
32,32,73,165
33,33,73,165
34,32,73,166
35,32,73,165
36,32,73,166
37,32,73,166
38,32,72,166
39,32,73,166
40,32,72,166
41,32,73,165
42,32,72,166
43,32,73,166
44,32,72,166
45,32,72,166
46,32,72,166
47,32,72,166
48,32,72,166
49,32,72,166
50,32,72,166
51,32,72,166
52,32,73,166
53,32,73,165
54,32,73,165
55,32,73,165
56,32,73,165
57,32,73,165
58,33,73,164
59,33,73,165
60,32,73,165
61,32,73,165
62,33,73,164
63,33,73,165
64,33,73,164
65,32,73,165
66,33,73,164
67,32,73,165
68,33,73,164
69,33,73,165
70,33,73,164
71,33,73,164
72,33,73,163
73,33,74,164
74,33,73,163
75,33,73,164
76,33,74,164
77,33,74,164
78,33,73,163
79,33,74,164
80,33,73,164
81,33,74,164
82,33,73,164
83,33,73,164
84,33,73,164
85,33,73,164
86,33,73,165
87,33,73,164
88,33,74,164
89,33,73,163
90,33,73,163
91,33,74,164
92,34,73,163
93,34,73,163
94,34,74,162
95,34,73,162
96,34,74,162
97,34,73,162
98,35,74,162
99,34,74,161
