Index,Red,Green,Blue
0,55,152,60
1,55,152,60
2,55,151,60
3,55,152,61
4,55,152,61
5,55,152,61
6,55,152,60
7,55,151,60
8,55,151,60
9,55,152,60
10,55,151,60
11,55,152,61
12,55,151,60
13,55,152,60
14,55,152,61
15,55,152,60
16,55,152,61
17,55,152,61
18,55,152,61
19,55,152,61
20,55,152,60
21,55,152,60
22,55,152,60
23,55,152,61
24,55,151,60
25,55,152,60
26,55,152,60
27,55,152,60
28,55,152,61
29,55,152,61
30,55,152,61
31,55,152,60
32,55,152,61
33,55,152,60
34,55,152,61
35,55,152,60
36,55,152,60
37,55,152,60
38,55,152,60
39,55,152,60
40,55,152,60
41,55,152,60
42,55,152,61
43,55,152,60
44,55,152,60
45,55,152,60
46,55,153,61
47,55,152,60
48,55,152,60
49,55,152,61
50,55,152,60
51,55,152,60
52,55,152,60
53,55,152,60
54,55,152,60
55,55,152,60
56,55,152,61
57,55,152,60
58,55,152,60
59,55,152,60
60,55,152,60
61,55,152,60
62,55,152,60
63,55,152,60
64,55,152,61
65,55,152,60
66,55,153,61
67,55,152,60
68,55,153,61
69,55,152,60
70,55,152,60
71,55,152,60
72,55,152,60
73,55,152,60
74,55,152,61
75,55,152,60
76,55,152,61
77,55,152,60
78,55,152,61
79,55,152,60
80,55,152,61
81,55,152,60
82,54,152,60
83,55,152,60
84,55,152,61
85,55,152,60
86,55,152,61
87,55,152,60
88,54,152,60
89,54,152,60
90,55,152,60
91,55,152,60
92,54,152,60
93,54,152,60
94,54,152,60
95,55,152,60
96,54,152,60
97,55,152,60
98,54,152,60
99,55,152,60
