Index,Red,Green,Blue
0,160,68,46
1,160,68,46
2,160,67,46
3,161,68,46
4,160,68,46
5,160,68,46
6,160,68,46
7,160,68,46
8,160,68,46
9,160,68,46
10,160,68,46
11,160,67,46
12,160,68,46
13,160,68,46
14,160,68,46
15,160,68,46
16,160,68,46
17,160,68,46
18,161,68,46
19,160,68,46
20,160,68,46
21,160,67,46
22,161,68,46
23,160,68,46
24,160,68,46
25,161,68,46
26,160,68,46
27,160,68,46
28,160,68,46
29,161,68,46
30,160,68,46
31,160,67,46
32,161,68,46
33,160,68,46
34,161,68,46
35,160,68,46
36,160,68,46
37,160,68,46
38,160,68,46
39,160,68,46
40,160,68,46
41,160,67,46
42,161,68,46
43,160,68,46
44,160,68,46
45,160,68,46
46,160,68,46
47,160,68,46
48,160,68,46
49,160,68,46
50,160,68,46
51,161,68,46
52,161,68,46
53,160,68,46
54,161,68,46
55,160,68,46
56,161,68,46
57,161,68,46
58,160,68,46
59,160,68,46
60,160,68,46
61,161,67,46
62,161,68,46
63,160,68,46
64,160,68,46
65,160,68,46
66,161,68,46
67,160,68,46
68,160,68,46
69,160,68,46
70,160,68,46
71,161,68,46
72,160,68,46
73,160,68,46
74,161,67,46
75,160,68,46
76,161,68,46
77,161,67,46
78,160,68,46
79,160,68,46
80,160,68,46
81,161,67,46
82,160,68,46
83,161,68,46
84,161,68,46
85,160,68,46
86,160,68,46
87,161,67,46
88,160,68,46
89,161,68,46
90,160,68,46
91,160,68,46
92,160,68,46
93,160,68,46
94,161,67,46
95,161,68,46
96,160,68,46
97,160,68,46
98,160,68,46
99,160,68,46
