Index,Red,Green,Blue
0,91,57,122
1,91,56,122
2,91,56,122
3,92,57,122
4,91,57,122
5,91,56,122
6,91,56,122
7,92,57,122
8,92,57,122
9,91,57,122
10,91,57,122
11,91,57,122
12,92,56,122
13,92,57,122
14,91,57,122
15,91,57,122
16,92,57,122
17,92,57,123
18,92,57,122
19,92,57,123
20,91,57,122
21,92,57,122
22,92,56,123
23,92,57,123
24,91,56,122
25,91,56,122
26,92,57,122
27,92,57,123
28,91,56,122
29,91,57,122
30,91,56,122
31,91,57,122
32,92,57,123
33,92,57,123
34,91,56,122
35,91,56,122
36,92,57,122
37,92,57,122
38,91,57,122
39,91,57,122
40,91,57,122
41,92,57,122
42,92,57,123
43,91,57,122
44,91,57,122
45,92,56,122
46,91,57,122
47,91,57,122
48,91,57,123
49,91,56,123
50,91,57,122
51,92,57,123
52,91,57,122
53,91,56,123
54,91,56,122
55,92,56,123
56,91,57,122
57,92,57,123
58,91,56,122
59,91,56,122
60,91,57,122
61,92,56,123
62,92,57,123
63,91,56,122
64,91,56,122
65,92,56,122
66,91,57,122
67,91,56,123
68,91,56,122
69,91,56,122
70,91,57,122
71,91,56,122
72,91,56,122
73,91,56,123
74,91,56,122
75,91,56,122
76,92,57,123
77,91,56,122
78,91,56,122
79,91,56,122
80,91,57,122
81,91,56,122
82,91,56,122
83,91,56,122
84,91,56,122
85,91,56,123
86,91,56,123
87,91,56,122
88,91,56,122
89,91,56,123
90,92,56,123
91,91,56,123
92,91,56,122
93,91,56,122
94,91,56,123
95,91,57,122
96,92,57,123
97,91,57,123
98,91,56,123
99,91,57,122
