Index,Red,Green,Blue
0,184,53,45
1,184,53,45
2,184,53,45
3,184,53,45
4,184,51,45
5,184,53,45
6,184,51,45
7,184,53,44
8,184,51,44
9,184,53,44
10,184,51,44
11,184,53,44
12,184,53,44
13,184,53,44
14,184,53,44
15,185,52,44
16,185,52,44
17,185,52,44
18,185,52,44
19,185,52,44
20,185,52,44
21,185,52,44
22,183,52,44
23,183,52,44
24,185,52,44
25,185,52,44
26,185,52,44
27,185,52,44
28,185,52,44
29,183,52,44
30,185,52,44
31,185,52,44
32,185,52,44
33,183,52,44
34,185,52,44
35,185,52,44
36,185,52,44
37,185,52,44
38,185,52,44
39,183,52,44
40,185,52,44
41,185,52,44
42,183,52,44
43,183,52,44
44,185,52,44
45,185,52,44
46,185,52,44
47,183,52,44
48,183,52,44
49,183,52,44
50,185,52,44
51,185,52,44
52,183,52,44
53,185,52,44
54,185,52,44
55,185,52,44
56,183,52,44
57,185,52,44
58,183,52,44
59,185,52,44
60,185,52,44
61,185,52,44
62,183,52,44
63,183,52,44
64,183,52,44
65,185,52,44
66,183,52,44
67,185,52,44
68,183,52,44
69,185,52,44
70,185,52,44
71,185,52,44
72,183,52,44
73,185,52,44
74,185,52,44
75,185,52,44
76,185,52,44
77,185,52,44
78,185,52,44
79,185,52,44
80,185,52,44
81,185,52,44
82,185,52,44
83,185,52,44
84,185,52,44
85,185,52,44
86,185,52,44
87,185,52,44
88,185,52,44
89,185,52,44
90,185,52,44
91,185,52,44
92,185,52,44
93,185,52,44
94,183,52,43
95,185,52,44
96,185,52,44
97,185,52,44
98,183,52,43
99,185,52,44
