Index,Red,Green,Blue
0,45,117,101
1,45,116,101
2,45,116,101
3,45,116,101
4,45,117,101
5,45,116,101
6,45,117,101
7,45,116,101
8,45,116,101
9,45,117,101
10,45,116,101
11,45,117,101
12,45,116,101
13,45,116,101
14,45,116,101
15,45,116,101
16,45,116,101
17,45,116,101
18,45,116,101
19,45,116,101
20,45,116,101
21,45,116,101
22,46,116,101
23,45,116,101
24,45,116,101
25,45,116,101
26,46,116,101
27,46,116,101
28,45,116,101
29,45,116,101
30,46,116,101
31,46,116,100
32,46,116,101
33,46,116,101
34,46,116,101
35,46,116,101
36,46,116,101
37,46,116,101
38,46,116,101
39,46,116,101
40,46,116,101
41,46,116,101
42,46,116,101
43,45,116,101
44,45,116,101
45,46,116,101
46,45,116,101
47,46,116,101
48,45,116,101
49,45,116,101
50,45,116,101
51,46,116,101
52,45,116,101
53,45,116,101
54,45,116,101
55,46,116,101
56,46,116,101
57,45,117,101
58,45,116,101
59,45,116,101
60,45,116,101
61,45,117,101
62,45,117,101
63,45,116,101
64,45,117,101
65,45,117,101
66,45,116,101
67,45,117,101
68,45,116,101
69,45,117,101
70,45,116,101
71,45,117,101
72,46,116,101
73,45,117,101
74,45,116,101
75,45,117,101
76,45,116,101
77,45,116,101
78,45,116,101
79,45,116,101
80,45,116,101
81,45,116,101
82,45,116,101
83,45,116,101
84,46,116,101
85,45,116,101
86,46,116,101
87,46,116,101
88,45,116,101
89,45,116,101
90,46,116,101
91,46,116,101
92,45,116,101
93,45,116,101
94,45,116,101
95,45,116,101
96,45,116,101
97,45,116,101
98,45,116,101
99,45,117,101
