Index,Red,Green,Blue
0,71,102,93
1,71,102,93
2,71,102,93
3,71,101,93
4,71,102,93
5,71,102,93
6,71,101,92
7,71,102,93
8,71,101,92
9,71,102,93
10,71,101,93
11,71,101,92
12,71,102,93
13,71,102,93
14,71,102,92
15,71,102,93
16,71,101,92
17,71,101,92
18,71,102,92
19,71,101,92
20,71,101,92
21,71,102,93
22,71,102,93
23,71,102,93
24,71,101,92
25,71,102,92
26,71,102,93
27,71,102,92
28,71,102,93
29,71,102,93
30,71,102,92
31,71,101,92
32,71,101,92
33,71,102,93
34,71,101,92
35,71,102,93
36,71,102,92
37,71,102,92
38,71,102,93
39,71,101,92
40,71,102,93
41,71,101,92
42,71,101,92
43,71,101,92
44,71,102,93
45,71,101,92
46,71,102,92
47,71,101,92
48,71,102,93
49,71,101,92
50,71,102,93
51,71,102,93
52,71,101,92
53,71,102,92
54,71,102,92
55,71,102,92
56,71,101,92
57,71,102,93
58,71,102,92
59,71,101,92
60,71,102,92
61,71,101,92
62,71,101,92
63,71,101,92
64,71,101,92
65,71,101,92
66,71,101,92
67,71,102,93
68,71,102,93
69,71,102,92
70,71,101,92
71,71,101,92
72,71,102,92
73,71,102,93
74,71,101,93
75,71,102,92
76,71,102,93
77,71,102,93
78,71,101,92
79,71,102,92
80,71,101,93
81,71,102,93
82,71,102,92
83,71,102,93
84,71,101,93
85,71,102,92
86,71,102,93
87,71,102,93
88,71,101,92
89,71,102,92
90,71,102,93
91,71,101,92
92,71,102,93
93,71,101,92
94,71,101,93
95,71,102,92
96,71,102,92
97,71,101,92
98,71,102,92
99,71,102,92
