Index,Red,Green,Blue
0,83,101,72
1,83,102,72
2,83,102,72
3,83,102,72
4,83,102,72
5,83,102,72
6,83,102,72
7,83,101,72
8,83,102,72
9,83,102,72
10,83,102,72
11,83,102,72
12,83,101,72
13,83,102,72
14,83,101,72
15,83,101,72
16,83,102,72
17,83,101,72
18,83,102,72
19,83,102,72
20,83,101,72
21,83,102,72
22,83,102,72
23,83,102,72
24,83,102,72
25,83,102,72
26,82,102,72
27,82,102,72
28,82,102,72
29,82,102,72
30,82,102,72
31,82,102,72
32,82,102,72
33,82,102,72
34,82,102,72
35,82,102,72
36,82,102,72
37,82,102,72
38,82,102,72
39,82,102,72
40,82,102,72
41,82,102,72
42,82,102,72
43,82,102,72
44,82,102,72
45,82,102,72
46,82,102,72
47,82,102,72
48,82,102,72
49,82,102,72
50,82,102,72
51,82,102,72
52,82,102,72
53,82,102,72
54,82,102,72
55,82,102,72
56,82,102,72
57,82,102,72
58,82,102,72
59,82,102,72
60,82,102,72
61,82,102,72
62,82,102,72
63,82,102,72
64,82,102,72
65,82,102,72
66,82,102,72
67,82,102,72
68,82,102,72
69,82,102,72
70,82,102,72
71,82,102,72
72,82,102,72
73,82,102,72
74,82,102,72
75,82,102,72
76,82,102,72
77,82,102,72
78,82,102,72
79,82,102,72
80,82,102,72
81,82,102,72
82,82,102,72
83,82,102,72
84,82,102,72
85,81,102,72
86,82,102,72
87,81,102,72
88,81,102,72
89,81,102,72
90,81,102,72
91,81,102,72
92,81,102,72
93,81,102,72
94,81,102,72
95,81,102,72
96,81,102,72
97,81,102,72
98,81,102,72
99,81,102,72
