Index,Red,Green,Blue
0,96,119,52
1,96,119,52
2,96,119,52
3,96,118,52
4,96,118,52
5,96,118,52
6,96,118,52
7,96,118,52
8,96,118,52
9,96,118,52
10,96,118,52
11,96,119,52
12,96,118,52
13,96,118,52
14,96,118,52
15,96,118,52
16,96,118,52
17,96,118,52
18,96,118,52
19,96,119,52
20,96,118,52
21,96,118,52
22,96,118,52
23,96,118,52
24,96,118,52
25,96,119,52
26,96,118,52
27,96,118,52
28,96,118,52
29,96,118,52
30,96,118,52
31,96,118,52
32,96,118,52
33,96,118,52
34,96,118,52
35,96,118,52
36,96,118,52
37,96,118,52
38,96,118,52
39,96,118,52
40,96,118,52
41,96,118,52
42,96,118,52
43,96,118,52
44,96,118,52
45,96,118,52
46,96,118,52
47,96,118,52
48,96,118,52
49,96,119,52
50,96,118,52
51,96,118,52
52,96,118,52
53,96,118,52
54,96,119,52
55,96,118,52
56,96,118,52
57,96,118,52
58,96,119,52
59,96,119,52
60,96,119,52
61,96,118,52
62,96,119,52
63,96,119,52
64,96,119,52
65,96,118,52
66,96,118,52
67,96,118,52
68,96,119,52
69,96,118,52
70,96,118,52
71,96,119,52
72,96,119,52
73,96,118,52
74,96,118,52
75,96,118,52
76,96,119,52
77,96,118,52
78,96,119,52
79,96,118,52
80,96,118,52
81,96,118,52
82,96,119,52
83,96,119,52
84,96,118,52
85,96,118,52
86,96,119,52
87,96,118,52
88,96,119,52
89,96,118,52
90,96,118,52
91,96,119,52
92,96,118,52
93,96,118,52
94,96,119,52
95,96,119,52
96,96,118,52
97,96,119,52
98,96,118,52
99,96,119,52
